time_step,v_raw,v_float,i_raw
205, -4850,-1.184082,  2048
215, -4850,-1.184082,  2048
225, -4850,-1.184082,  2048
235, -4836,-1.180664,  2048
245, -4820,-1.176758,  2048
255, -4820,-1.176758,  2048
265, -4820,-1.176758,  2048
275, -4806,-1.173340,  2048
285, -4790,-1.169434,  2048
295, -4790,-1.169434,  2048
305, -4790,-1.169434,  2048
315, -4776,-1.166016,  2048
325, -4760,-1.162109,  2048
335, -4760,-1.162109,  2048
345, -4760,-1.162109,  2048
355, -4747,-1.158936,  2048
365, -4731,-1.155029,  2048
375, -4731,-1.155029,  2048
385, -4731,-1.155029,  2048
395, -4718,-1.151855,  2048
405, -4702,-1.147949,  2048
415, -4702,-1.147949,  2048
425, -4702,-1.147949,  2048
435, -4689,-1.144775,  2048
445, -4674,-1.141113,  2048
455, -4674,-1.141113,  2048
465, -4674,-1.141113,  2048
475, -4661,-1.137939,  2048
485, -4646,-1.134277,  2048
495, -4646,-1.134277,  2048
505, -4646,-1.134277,  2048
515, -4633,-1.131104,  2048
525, -4618,-1.127441,  2048
535, -4618,-1.127441,  2048
545, -4618,-1.127441,  2048
555, -4605,-1.124268,  2048
565, -4591,-1.120850,  2048
575, -4591,-1.120850,  2048
585, -4591,-1.120850,  2048
595, -4578,-1.117676,  2048
605, -4564,-1.114258,  2048
615, -4564,-1.114258,  2048
625, -4564,-1.114258,  2048
635, -4551,-1.111084,  2048
645, -4537,-1.107666,  2048
655, -4537,-1.107666,  2048
665, -4537,-1.107666,  2048
675, -4525,-1.104736,  2048
685, -4511,-1.101318,  2048
695, -4511,-1.101318,  2048
705, -4511,-1.101318,  2048
715, -4499,-1.098389,  2048
725, -4485,-1.094971,  2048
735, -4485,-1.094971,  2048
745, -4485,-1.094971,  2048
755, -4473,-1.092041,  2048
765, -4459,-1.088623,  2048
775, -4459,-1.088623,  2048
785, -4459,-1.088623,  2048
795, -4448,-1.085938,  2048
805, -4434,-1.082520,  2048
815, -4434,-1.082520,  2048
825, -4434,-1.082520,  2048
835, -4423,-1.079834,  2048
845, -4409,-1.076416,  2048
855, -4409,-1.076416,  2048
865, -4409,-1.076416,  2048
875, -4398,-1.073730,  2048
885, -4384,-1.070312,  2048
895, -4384,-1.070312,  2048
905, -4384,-1.070312,  2048
915, -4374,-1.067871,  2048
925, -4360,-1.064453,  2048
935, -4360,-1.064453,  2048
945, -4360,-1.064453,  2048
955, -4350,-1.062012,  2048
965, -4336,-1.058594,  2048
975, -4336,-1.058594,  2048
985, -4336,-1.058594,  2048
995, -4326,-1.056152,  2048
1005, -4312,-1.052734,  2048
1015, -4312,-1.052734,  2048
1025, -4312,-1.052734,  2048
1035, -4302,-1.050293,  2048
1045, -4289,-1.047119,  2048
1055, -4289,-1.047119,  2048
1065, -4289,-1.047119,  2048
1075, -4279,-1.044678,  2048
1085, -4266,-1.041504,  2048
1095, -4266,-1.041504,  2048
1105, -4266,-1.041504,  2048
1115, -4256,-1.039062,  2048
1125, -4243,-1.035889,  2048
1135, -4243,-1.035889,  2048
1145, -4243,-1.035889,  2048
1155, -4233,-1.033447,  2048
1165, -4221,-1.030518,  2048
1175, -4221,-1.030518,  2048
1185, -4221,-1.030518,  2048
1195, -4211,-1.028076,  2048
1205, -4199,-1.025146,  2048
1215, -4199,-1.025146,  2048
1225, -4199,-1.025146,  2048
1235, -4189,-1.022705,  2048
1245, -4177,-1.019775,  2048
1255, -4177,-1.019775,  2048
1265, -4177,-1.019775,  2048
1275, -4167,-1.017334,  2048
1285, -4156,-1.014648,  2048
1295, -4156,-1.014648,  2048
1305, -4156,-1.014648,  2048
1315, -4146,-1.012207,  2048
1325, -4135,-1.009521,  2048
1335, -4135,-1.009521,  2048
1345, -4135,-1.009521,  2048
1355, -4125,-1.007080,  2048
1365, -4114,-1.004395,  2048
1375, -4114,-1.004395,  2048
1385, -4114,-1.004395,  2048
1395, -4104,-1.001953,  2048
1405, -4093,-0.999268,  2048
1415, -4093,-0.999268,  2048
1425, -4093,-0.999268,  2048
1435, -4084,-0.997070,  2048
1445, -4073,-0.994385,  2048
1455, -4073,-0.994385,  2048
1465, -4073,-0.994385,  2048
1475, -4064,-0.992188,  2048
1485, -4053,-0.989502,  2048
1495, -4053,-0.989502,  2048
1505, -4053,-0.989502,  2048
1515, -4044,-0.987305,  2048
1525, -4032,-0.984375,  2048
1535, -4032,-0.984375,  2048
1545, -4032,-0.984375,  2048
1555, -4023,-0.982178,  2048
1565, -4011,-0.979248,  2048
1575, -4011,-0.979248,  2048
1585, -4011,-0.979248,  2048
1595, -4002,-0.977051,  2048
1605, -3990,-0.974121,  2048
1615, -3990,-0.974121,  2048
1625, -3990,-0.974121,  2048
1635, -3981,-0.971924,  2048
1645, -3969,-0.968994,  2048
1655, -3969,-0.968994,  2048
1665, -3969,-0.968994,  2048
1675, -3960,-0.966797,  2048
1685, -3948,-0.963867,  2048
1695, -3948,-0.963867,  2048
1705, -3948,-0.963867,  2048
